video_id	video_title	song_title
-BZXZvOnRK0	【BGクラブ】脳漿炸裂ガール 歌ってみた - 森中花咲×鈴鹿詩子×モイラ【オリジナルMV】cover	脳漿炸裂ガール
-Bp1paZ9BYg	The hole / King Gnu (covered by 緑仙)	The hole
-IlaqSfksd8	【歌ってみた】ガーネット/奥華子【町田ちま/にじさんじ】	ガーネット
-SDSLLZ36q0	君の知らない物語(cover）【レヴィ・エリファ】	君の知らない物語
0-DEBBvrQBI	君の神様になりたい。 / 鈴木勝【歌ってみた】	君の神様になりたい。
0OOjdwiHh5Q	アウターサイエンス / 緑仙 (Cover)	アウターサイエンス
0nTX41VJvsY	他人事の音がする / 緑仙 (Cover)	他人事の音がする
0xfkRdHHHRQ	【歌ってみた】夢追翔、「完全感覚Dreamer」を歌わせていただきました。【にじさんじ】	完全感覚Dreamer
1Ejf88Ovb5s	ロキ / 緑仙 (Cover)	ロキ
1Lt1jWw5ksQ	ベノム / 緑仙 (Cover)	ベノム
1iRQ0CY8nrc	Natto!! -Moon!!(月ノ美兎/iru）替え歌- 歌ってみた【卯月コウ】	Moon!!
2IIoe7ZH5fo	【歌ってみた】一度だけの恋なら【とこ尊楓リゼるる】	一度だけの恋なら
2T3L9xgZ6bw	Happy Halloween / 緑仙 (Cover)	Happy Halloween
2k8AIzE87Mo	Disney Medley｜covered by 戌亥とこ	Disney Medley
3C1iJ0-cP2E	『ヒロイン育成計画』covered by星川サラ／ HoneyWorks【にじさんじ】	ヒロイン育成計画
3HSB8lKozGw	イドラのサーカス / 緑仙 (Cover)	イドラのサーカス
3SthJlWeJFQ	トウキョウト・ロック・シティ / 緑仙 (Cover)	トウキョウト・ロック・シティ
3snjehKgj6M	福寿草 / 緑仙 (Cover)	福寿草
4N-AD2Utndw	【#鷹宮リオン3D 記念】ファンサ 歌ってみた【にじさんじ/鷹宮リオン】	ファンサ
4SqwCH-Wqhk	おなじ話/黒井しば＆町田ちま(Cover)	おなじ話
5BnhQbcPrBg	【新衣装で】ビースト・ダンス　歌ってみた【相羽ういは/にじさんじ】	ビースト・ダンス
5DfRzFrmHzQ	【歌ってみた】絶望レストラン【月ノ美兎・久遠千歳・雨森小夜・樋口楓cover】	絶望レストラン
5hhpkY0Ht6w	【歌ってみた】打上花火【町田ちまとゴンザレス】	打上花火
61Q42RmCH7g	【Honey Works】日曜日の秘密 / 緑仙&響木アオ【Cover】	日曜日の秘密
61k1YBAKQ7E	乙女解剖（DECO*27）歌ってみた【オリジナルMV】/鈴鹿詩子cover(Utako Suzuka)	乙女解剖
6EbLAJwGdIo	ラストリゾート / 緑仙 (Cover)	ラストリゾート
6tyau3ZpYUM	【歌ってみた】不可思議のカルテ/森中花咲【TVアニメ 青春ブタ野郎はバニーガール先輩の夢を見ない EDテーマ】	不可思議のカルテ
7Evz3m29J-M	トリノコシティ / 緑仙 (Cover)	トリノコシティ
7kYZ7STdEQI	空中分解 / 緑仙 (Cover)	空中分解
7l6uWgF8z0k	チュルリラ・チュルリラ・ダッダッダ！(cover）【レヴィ・エリファ】	チュルリラ・チュルリラ・ダッダッダ！
7lYjfAgaTXw	【歌ってみた】夢追翔、「高嶺の花子さん」を歌わせていただきました。【にじさんじプロジェクト】	高嶺の花子さん
7pObaK-isfU	The Beast. / 緑仙 (Cover)	The Beast.
8pvNiT8O0Fc	Shocking Party / le jouet (Cover)	Shocking Party
9V0XN6lHAro	【アイドルマスター】きゅんっ！ヴァンパイアガールを歌ってみた/ヴァンパイアカザキ様【オリジナルMV】	きゅんっ！ヴァンパイアガール
9dHQp_y8ND0	コールボーイ / 緑仙 (Cover)	コールボーイ
A5o8--ih8Ks	Alice in N.Y. / le jouet (Cover)	Alice in N.Y.
ADgodTeFaMM	【Virtual to LIVE（covered by #さんばか）】活動半年ありがとう【にじさんじ】	Virtual to LIVE
AGsCcEt1xqA	恋愛サーキュレーション / 鈴木勝×Ruco【歌ってみた】	恋愛サーキュレーション
AkRVla0ACOc	スイートマジック / 緑仙 (Cover)	スイートマジック
B3LdMKVGXBY	白日 / King Gnu (covered by 緑仙)	白日
CFQ1TAP9AUs	不死鳥のフランメ ／ ドーラ×緑仙（Cover）	不死鳥のフランメ
CGlZyDUicjw	【デレマス】ラブレターを3人で歌ってみた【オリジナルMV】	ラブレター
CICsAfQ6ke8	【にじさんじ】Mr.Music【歌ってみた！】	Mr.Music
CV8p4mxLiqU	bin / 緑仙 (Cover)	bin
Cch-8tl4z2g	【歌ってみた】変わらないもの／奥華子【町田ちま】	変わらないもの
D5Cdf-iiuy8	【初投稿】終末じゃない　歌ってみた【ChroNoiR】	終末じゃない
DQqMDc5_034	【歌ってみた】夢追翔、「Pretender」を歌わせていただきました。【にじさんじ】	Pretender
DTNI9gDgc-8	【歌ってみた】さらばかゆみ with 剣持【股間戦士エムズーン】	さらばかゆみ
DxQVcC-yJV0	WINDING ROAD byおめがシスターズ×樋口楓【歌ってみた】	WINDING ROAD
ELFc_cNXjgc	東京テディベア / 緑仙 (Cover)	東京テディベア
EaOa5RXRVs8	ヘドニストの幸福な食卓 / 緑仙 (Cover)	ヘドニストの幸福な食卓
EkCg_dq_sk4	Sweet Devil / 緑仙 with 加賀美ハヤト、夢追翔 (Cover)	Sweet Devil
Epfe2hmNLdY	デリケートに好きして / 緑仙 (Cover)	デリケートに好きして
