channel_id	vtuber_name	video_id	video_title	music_title
UCsg-YqdqQ-KFF0LNk23BY4A	樋口楓	nLczfir8z1s	【けいおん!】ふわふわ時間　歌ってみた【童田明治＆樋口楓】	ふわふわ時間
UCveZ9Ic1VtcXbsyaBgxPMvg	童田明治	nLczfir8z1s	【けいおん!】ふわふわ時間　歌ってみた【童田明治＆樋口楓】	ふわふわ時間
UCsg-YqdqQ-KFF0LNk23BY4A	樋口楓	dZm1HAILIHc	【歌ってみた】daze / じん ft.メイリア from GARNiDELiA 【樋口楓cover】	daze
UCsg-YqdqQ-KFF0LNk23BY4A	樋口楓	pMI8wD9Di-k	【#にじさんじ1期生出身】僕たちはひとつの光 /μ's 【2周年記念/歌ってみた】	僕たちはひとつの光
UCLO9QDxVL4bnvRRsz6K4bsQ	勇気ちひろ	pMI8wD9Di-k	【#にじさんじ1期生出身】僕たちはひとつの光 /μ's 【2周年記念/歌ってみた】	僕たちはひとつの光
UCsg-YqdqQ-KFF0LNk23BY4A	樋口楓	kmte4HGJCdo	Q - 《楓刀京明雨葛》Cover	Q
UCv1fFr156jc65EMiLbaLImw	剣持刀也	kmte4HGJCdo	Q - 《楓刀京明雨葛》Cover	Q
UCRWOdwLRsenx2jLaiCAIU4A	雨森小夜	kmte4HGJCdo	Q - 《楓刀京明雨葛》Cover	Q
UCsg-YqdqQ-KFF0LNk23BY4A	樋口楓	V0njuvP7yPw	クラブ=マジェスティ／nyanyannya (cover by 楓アキ花咲リリ刀也ギル)	クラブ=マジェスティ
UCv1fFr156jc65EMiLbaLImw	剣持刀也	V0njuvP7yPw	クラブ=マジェスティ／nyanyannya (cover by 楓アキ花咲リリ刀也ギル)	クラブ=マジェスティ
UCtpB6Bvhs1Um93ziEDACQ8g	森中花咲	V0njuvP7yPw	クラブ=マジェスティ／nyanyannya (cover by 楓アキ花咲リリ刀也ギル)	クラブ=マジェスティ
UCsg-YqdqQ-KFF0LNk23BY4A	樋口楓	RsOBIlmCHqI	【歌ってみた】Cutie Panther【樋口楓 / 竜胆尊 / リゼ・ヘルエスタcover】	Cutie Panther
